Abilify		Alcohols
Uricosuric Agents		Sulfinpyrazone
Uricosuric Agents		Aspirin
Uricosuric Agents		Probenecid
Probenecid		Phenylbutazone
Probenecid		Sulfinpyrazone
Probenecid		Aspirin
Probenecid		Uricosuric Agents
Videx		Didanosine
Videx		Ganciclovir
Didanosine		Videx
Didanosine		Ganciclovir
Ganciclovir		Videx
Ganciclovir		Didanosine
Cerivastatin sodium		cerivastatin
cerivastatin		Cerivastatin sodium
Succinylcholine		Tracrium
Tracrium		Succinylcholine
Zalcitabine		Lamivudine
Lamivudine		Zalcitabine
Ranitidine		Cimetidine
Ranitidine		Cisapride
Cimetidine		Ranitidine
Cimetidine		Cisapride
Cisapride		Ranitidine
Cisapride		Cimetidine
Ketoprofen		Aspirin
Aspirin		Ketoprofen
Monoamine Oxidase Inhibitors		Dexfenfluramine
Dexfenfluramine		Monoamine Oxidase Inhibitors
Nevirapine		Warfarin
Nevirapine		Antithrombotic Agents
Warfarin		Nevirapine
Warfarin		Antithrombotic Agents
Antithrombotic Agents		Nevirapine
Antithrombotic Agents		Warfarin
Aspirin		Anti-Inflammatory Agents, Non-Steroidal
Anti-Inflammatory Agents, Non-Steroidal		Aspirin
Diclofenac		Lithium
Lithium		Diclofenac
Fluoxetine		Tricyclic Antidepressive Agents
Tricyclic Antidepressive Agents		Fluoxetine
Moclobemide		Monoamine Oxidase Inhibitors
Moclobemide		almotriptan
Monoamine Oxidase Inhibitors		Moclobemide
Monoamine Oxidase Inhibitors		almotriptan
almotriptan		Moclobemide
almotriptan		Monoamine Oxidase Inhibitors
Carbamazepine		aripiprazole
aripiprazole		Carbamazepine
Monurol		Pharmaceutical Preparations
Monurol		Metoclopramide
Pharmaceutical Preparations		Monurol
Pharmaceutical Preparations		Metoclopramide
Metoclopramide		Monurol
Metoclopramide		Pharmaceutical Preparations
Antihypertensive Agents		Furosemide
Furosemide		Antihypertensive Agents
Calcium		Itraconazole
Calcium		Erythromycin
Calcium		Ketoconazole
Calcium		Sensipar
Itraconazole		Calcium
Itraconazole		Erythromycin
Itraconazole		Ketoconazole
Itraconazole		Sensipar
Erythromycin		Calcium
Erythromycin		Itraconazole
Erythromycin		Ketoconazole
Erythromycin		Sensipar
Ketoconazole		Calcium
Ketoconazole		Itraconazole
Ketoconazole		Erythromycin
Ketoconazole		Sensipar
Sensipar		Calcium
Sensipar		Itraconazole
Sensipar		Erythromycin
Sensipar		Ketoconazole
Local Anesthetics		Duration
Local Anesthetics		Clonidine
Duration		Local Anesthetics
Duration		Clonidine
Clonidine		Local Anesthetics
Clonidine		Duration
Cyclosporine		Adrenal Cortex Hormones
Adrenal Cortex Hormones		Cyclosporine
Labetalol hydrochloride		Cimetidine
Cimetidine		Labetalol hydrochloride
Sympathomimetics		Colchicine
Colchicine		Sympathomimetics
Bumetanide		Antihypertensive Agents
Bumetanide		Pharmaceutical Preparations
Antihypertensive Agents		Bumetanide
Antihypertensive Agents		Pharmaceutical Preparations
Pharmaceutical Preparations		Bumetanide
Pharmaceutical Preparations		Antihypertensive Agents
Dexamethasone		Cytadren
Cytadren		Dexamethasone
Rifampin		Phenytoin
Rifampin		Carbamazepine
Rifampin		Barbiturates
Rifampin		Pharmaceutical Preparations
Rifampin		Adrenal Cortex Hormones
Phenytoin		Rifampin
Phenytoin		Carbamazepine
Phenytoin		Barbiturates
Phenytoin		Pharmaceutical Preparations
Phenytoin		Adrenal Cortex Hormones
Carbamazepine		Rifampin
Carbamazepine		Phenytoin
Carbamazepine		Barbiturates
Carbamazepine		Pharmaceutical Preparations
Carbamazepine		Adrenal Cortex Hormones
Barbiturates		Rifampin
Barbiturates		Phenytoin
Barbiturates		Carbamazepine
Barbiturates		Pharmaceutical Preparations
Barbiturates		Adrenal Cortex Hormones
Pharmaceutical Preparations		Rifampin
Pharmaceutical Preparations		Phenytoin
Pharmaceutical Preparations		Carbamazepine
Pharmaceutical Preparations		Barbiturates
Pharmaceutical Preparations		Adrenal Cortex Hormones
Adrenal Cortex Hormones		Rifampin
Adrenal Cortex Hormones		Phenytoin
Adrenal Cortex Hormones		Carbamazepine
Adrenal Cortex Hormones		Barbiturates
Adrenal Cortex Hormones		Pharmaceutical Preparations
Phenylbutazone		Etodolac
Etodolac		Phenylbutazone
Methotrexate		Etretinate
Etretinate		Methotrexate
Anesthetics, Inhalation		Amines, Sympathomimetic
Anesthetics, Inhalation		Halothane
Anesthetics, Inhalation		Isuprel
Amines, Sympathomimetic		Anesthetics, Inhalation
Amines, Sympathomimetic		Halothane
Amines, Sympathomimetic		Isuprel
Halothane		Anesthetics, Inhalation
Halothane		Amines, Sympathomimetic
Halothane		Isuprel
Isuprel		Anesthetics, Inhalation
Isuprel		Amines, Sympathomimetic
Isuprel		Halothane
medroxyprogesterone acetate		Histidine
Histidine		medroxyprogesterone acetate
Phenothiazines		Diethylpropion
Diethylpropion		Phenothiazines
Chloramphenicol		Hypoglycemic Agents
Chloramphenicol		Coumarins
Chloramphenicol		Monoamine Oxidase Inhibitors
Chloramphenicol		Probenecid
Chloramphenicol		Salicylates
Chloramphenicol		Adrenergic beta-Antagonists
Chloramphenicol		Anti-Inflammatory Agents, Non-Steroidal
Chloramphenicol		Sulfonamides
Chloramphenicol		Pharmaceutical Preparations
Hypoglycemic Agents		Chloramphenicol
Hypoglycemic Agents		Coumarins
Hypoglycemic Agents		Monoamine Oxidase Inhibitors
Hypoglycemic Agents		Probenecid
Hypoglycemic Agents		Salicylates
Hypoglycemic Agents		Adrenergic beta-Antagonists
Hypoglycemic Agents		Anti-Inflammatory Agents, Non-Steroidal
Hypoglycemic Agents		Sulfonamides
Hypoglycemic Agents		Pharmaceutical Preparations
Coumarins		Chloramphenicol
Coumarins		Hypoglycemic Agents
Coumarins		Monoamine Oxidase Inhibitors
Coumarins		Probenecid
Coumarins		Salicylates
Coumarins		Adrenergic beta-Antagonists
Coumarins		Anti-Inflammatory Agents, Non-Steroidal
Coumarins		Sulfonamides
Coumarins		Pharmaceutical Preparations
Monoamine Oxidase Inhibitors		Chloramphenicol
Monoamine Oxidase Inhibitors		Hypoglycemic Agents
Monoamine Oxidase Inhibitors		Coumarins
Monoamine Oxidase Inhibitors		Probenecid
Monoamine Oxidase Inhibitors		Salicylates
Monoamine Oxidase Inhibitors		Adrenergic beta-Antagonists
Monoamine Oxidase Inhibitors		Anti-Inflammatory Agents, Non-Steroidal
Monoamine Oxidase Inhibitors		Sulfonamides
Monoamine Oxidase Inhibitors		Pharmaceutical Preparations
Probenecid		Chloramphenicol
Probenecid		Hypoglycemic Agents
Probenecid		Coumarins
Probenecid		Monoamine Oxidase Inhibitors
Probenecid		Salicylates
Probenecid		Adrenergic beta-Antagonists
Probenecid		Anti-Inflammatory Agents, Non-Steroidal
Probenecid		Sulfonamides
Probenecid		Pharmaceutical Preparations
Salicylates		Chloramphenicol
Salicylates		Hypoglycemic Agents
Salicylates		Coumarins
Salicylates		Monoamine Oxidase Inhibitors
Salicylates		Probenecid
Salicylates		Adrenergic beta-Antagonists
Salicylates		Anti-Inflammatory Agents, Non-Steroidal
Salicylates		Sulfonamides
Salicylates		Pharmaceutical Preparations
Adrenergic beta-Antagonists		Chloramphenicol
Adrenergic beta-Antagonists		Hypoglycemic Agents
Adrenergic beta-Antagonists		Coumarins
Adrenergic beta-Antagonists		Monoamine Oxidase Inhibitors
Adrenergic beta-Antagonists		Probenecid
Adrenergic beta-Antagonists		Salicylates
Adrenergic beta-Antagonists		Anti-Inflammatory Agents, Non-Steroidal
Adrenergic beta-Antagonists		Sulfonamides
Adrenergic beta-Antagonists		Pharmaceutical Preparations
Anti-Inflammatory Agents, Non-Steroidal		Chloramphenicol
Anti-Inflammatory Agents, Non-Steroidal		Hypoglycemic Agents
Anti-Inflammatory Agents, Non-Steroidal		Coumarins
Anti-Inflammatory Agents, Non-Steroidal		Monoamine Oxidase Inhibitors
Anti-Inflammatory Agents, Non-Steroidal		Probenecid
Anti-Inflammatory Agents, Non-Steroidal		Salicylates
Anti-Inflammatory Agents, Non-Steroidal		Adrenergic beta-Antagonists
Anti-Inflammatory Agents, Non-Steroidal		Sulfonamides
Anti-Inflammatory Agents, Non-Steroidal		Pharmaceutical Preparations
Sulfonamides		Chloramphenicol
Sulfonamides		Hypoglycemic Agents
Sulfonamides		Coumarins
Sulfonamides		Monoamine Oxidase Inhibitors
Sulfonamides		Probenecid
Sulfonamides		Salicylates
Sulfonamides		Adrenergic beta-Antagonists
Sulfonamides		Anti-Inflammatory Agents, Non-Steroidal
Sulfonamides		Pharmaceutical Preparations
Pharmaceutical Preparations		Chloramphenicol
Pharmaceutical Preparations		Hypoglycemic Agents
Pharmaceutical Preparations		Coumarins
Pharmaceutical Preparations		Monoamine Oxidase Inhibitors
Pharmaceutical Preparations		Probenecid
Pharmaceutical Preparations		Salicylates
Pharmaceutical Preparations		Adrenergic beta-Antagonists
Pharmaceutical Preparations		Anti-Inflammatory Agents, Non-Steroidal
Pharmaceutical Preparations		Sulfonamides
Diuretics		Aminophylline
Diuretics		methylxanthine
Diuretics		Adrenergic Agonists
Diuretics		Theophylline
Aminophylline		Diuretics
Aminophylline		methylxanthine
Aminophylline		Adrenergic Agonists
Aminophylline		Theophylline
methylxanthine		Diuretics
methylxanthine		Aminophylline
methylxanthine		Adrenergic Agonists
methylxanthine		Theophylline
Adrenergic Agonists		Diuretics
Adrenergic Agonists		Aminophylline
Adrenergic Agonists		methylxanthine
Adrenergic Agonists		Theophylline
Theophylline		Diuretics
Theophylline		Aminophylline
Theophylline		methylxanthine
Theophylline		Adrenergic Agonists
anastrozole		Tamoxifen
Tamoxifen		anastrozole
Tricyclic Antidepressive Agents		Cimetidine
Cimetidine		Tricyclic Antidepressive Agents
Disulfiram		isoniazid
isoniazid		Disulfiram
Sucralfate		Quinolones
Sucralfate		Antacids
Quinolones		Sucralfate
Quinolones		Antacids
Antacids		Sucralfate
Antacids		Quinolones
Vioxx		Pharmacologic Substance
Vioxx		Warfarin
Pharmacologic Substance		Vioxx
Pharmacologic Substance		Warfarin
Warfarin		Vioxx
Warfarin		Pharmacologic Substance
Diflunisal		Anticoagulants, Oral
Diflunisal		Phenprocoumon
Diflunisal		Acenocoumarol
Diflunisal		Warfarin
Anticoagulants, Oral		Diflunisal
Anticoagulants, Oral		Phenprocoumon
Anticoagulants, Oral		Acenocoumarol
Anticoagulants, Oral		Warfarin
Phenprocoumon		Diflunisal
Phenprocoumon		Anticoagulants, Oral
Phenprocoumon		Acenocoumarol
Phenprocoumon		Warfarin
Acenocoumarol		Diflunisal
Acenocoumarol		Anticoagulants, Oral
Acenocoumarol		Phenprocoumon
Acenocoumarol		Warfarin
Warfarin		Diflunisal
Warfarin		Anticoagulants, Oral
Warfarin		Phenprocoumon
Warfarin		Acenocoumarol
Mexate		Sulfapyridine
Mexate		Methotrexate
Sulfapyridine		Mexate
Sulfapyridine		Methotrexate
Methotrexate		Mexate
Methotrexate		Sulfapyridine
Sucralfate		Proton Pump Inhibitors
Proton Pump Inhibitors		Sucralfate
General anesthetic drugs		Phenothiazines
General anesthetic drugs		Narcotic Analgesics
General anesthetic drugs		Tranquilizing Agents
General anesthetic drugs		Alcohols
General anesthetic drugs		Hypnotics and Sedatives
General anesthetic drugs		Dilaudid
General anesthetic drugs		Central Nervous System Depressants
General anesthetic drugs		Tricyclic Antidepressive Agents
Phenothiazines		General anesthetic drugs
Phenothiazines		Narcotic Analgesics
Phenothiazines		Tranquilizing Agents
Phenothiazines		Alcohols
Phenothiazines		Hypnotics and Sedatives
Phenothiazines		Dilaudid
Phenothiazines		Central Nervous System Depressants
Phenothiazines		Tricyclic Antidepressive Agents
Narcotic Analgesics		General anesthetic drugs
Narcotic Analgesics		Phenothiazines
Narcotic Analgesics		Tranquilizing Agents
Narcotic Analgesics		Alcohols
Narcotic Analgesics		Hypnotics and Sedatives
Narcotic Analgesics		Dilaudid
Narcotic Analgesics		Central Nervous System Depressants
Narcotic Analgesics		Tricyclic Antidepressive Agents
Tranquilizing Agents		General anesthetic drugs
Tranquilizing Agents		Phenothiazines
Tranquilizing Agents		Narcotic Analgesics
Tranquilizing Agents		Alcohols
Tranquilizing Agents		Hypnotics and Sedatives
Tranquilizing Agents		Dilaudid
Tranquilizing Agents		Central Nervous System Depressants
Tranquilizing Agents		Tricyclic Antidepressive Agents
Alcohols		General anesthetic drugs
Alcohols		Phenothiazines
Alcohols		Narcotic Analgesics
Alcohols		Tranquilizing Agents
Alcohols		Hypnotics and Sedatives
Alcohols		Dilaudid
Alcohols		Central Nervous System Depressants
Alcohols		Tricyclic Antidepressive Agents
Hypnotics and Sedatives		General anesthetic drugs
Hypnotics and Sedatives		Phenothiazines
Hypnotics and Sedatives		Narcotic Analgesics
Hypnotics and Sedatives		Tranquilizing Agents
Hypnotics and Sedatives		Alcohols
Hypnotics and Sedatives		Dilaudid
Hypnotics and Sedatives		Central Nervous System Depressants
Hypnotics and Sedatives		Tricyclic Antidepressive Agents
Dilaudid		General anesthetic drugs
Dilaudid		Phenothiazines
Dilaudid		Narcotic Analgesics
Dilaudid		Tranquilizing Agents
Dilaudid		Alcohols
Dilaudid		Hypnotics and Sedatives
Dilaudid		Central Nervous System Depressants
Dilaudid		Tricyclic Antidepressive Agents
Central Nervous System Depressants		General anesthetic drugs
Central Nervous System Depressants		Phenothiazines
Central Nervous System Depressants		Narcotic Analgesics
Central Nervous System Depressants		Tranquilizing Agents
Central Nervous System Depressants		Alcohols
Central Nervous System Depressants		Hypnotics and Sedatives
Central Nervous System Depressants		Dilaudid
Central Nervous System Depressants		Tricyclic Antidepressive Agents
Tricyclic Antidepressive Agents		General anesthetic drugs
Tricyclic Antidepressive Agents		Phenothiazines
Tricyclic Antidepressive Agents		Narcotic Analgesics
Tricyclic Antidepressive Agents		Tranquilizing Agents
Tricyclic Antidepressive Agents		Alcohols
Tricyclic Antidepressive Agents		Hypnotics and Sedatives
Tricyclic Antidepressive Agents		Dilaudid
Tricyclic Antidepressive Agents		Central Nervous System Depressants
Indomethacin		saluretic
Indomethacin		Furosemide
saluretic		Indomethacin
saluretic		Furosemide
Furosemide		Indomethacin
Furosemide		saluretic
Guanfacine		Tricyclic Antidepressive Agents
Tricyclic Antidepressive Agents		Guanfacine
Celebrex		Warfarin
Warfarin		Celebrex
Doxapram		Pharmaceutical Preparations
Doxapram		Muscle relaxants
Pharmaceutical Preparations		Doxapram
Pharmaceutical Preparations		Muscle relaxants
Muscle relaxants		Doxapram
Muscle relaxants		Pharmaceutical Preparations
Sucralfate		lomefloxacin
lomefloxacin		Sucralfate
Laxatives		Camptosar
Camptosar		Laxatives
Cyclosporine		Caspofungin
Caspofungin		Cyclosporine
Ceftazidime		Chloramphenicol
Ceftazidime		Monobactams
Chloramphenicol		Ceftazidime
Chloramphenicol		Monobactams
Monobactams		Ceftazidime
Monobactams		Chloramphenicol
Anticoagulants		Tagamet
Tagamet		Anticoagulants
Maxipime		Aminoglycosides
Aminoglycosides		Maxipime
Buspirone		Digoxin
Digoxin		Buspirone
Adrenergic beta-Antagonists		Nifedipine
Nifedipine		Adrenergic beta-Antagonists
Rifabutin		Viracept
Rifabutin		Antimycobacterial agent
Rifabutin		Pharmaceutical Preparations
Viracept		Rifabutin
Viracept		Antimycobacterial agent
Viracept		Pharmaceutical Preparations
Antimycobacterial agent		Rifabutin
Antimycobacterial agent		Viracept
Antimycobacterial agent		Pharmaceutical Preparations
Pharmaceutical Preparations		Rifabutin
Pharmaceutical Preparations		Viracept
Pharmaceutical Preparations		Antimycobacterial agent
Stavudine		Ribavirin
Stavudine		Zidovudine
Ribavirin		Stavudine
Ribavirin		Zidovudine
Zidovudine		Stavudine
Zidovudine		Ribavirin
Anticholinergic Agents		Digoxin
Anticholinergic Agents		Pharmaceutical Preparations
Digoxin		Anticholinergic Agents
Digoxin		Pharmaceutical Preparations
Pharmaceutical Preparations		Anticholinergic Agents
Pharmaceutical Preparations		Digoxin
Probenecid		cefprozil
cefprozil		Probenecid
Rifampin		Mepron
Mepron		Rifampin
Contraceptives, Oral		Augmentin XR
Augmentin XR		Contraceptives, Oral
isoniazid		Ketoconazole
Ketoconazole		isoniazid
Butorphanol		Stadol
Stadol		Butorphanol
Glyburide		Chlorpropamide
Glyburide		Acitretin
Chlorpropamide		Glyburide
Chlorpropamide		Acitretin
Acitretin		Glyburide
Acitretin		Chlorpropamide
Nifedipine		Cimetidine
Cimetidine		Nifedipine
Estazolam		Itraconazole
Estazolam		Ketoconazole
Itraconazole		Estazolam
Itraconazole		Ketoconazole
Ketoconazole		Estazolam
Ketoconazole		Itraconazole
Adrenergic Agents		Sympathomimetics
Adrenergic Agents		Dopaminergic Agents
Adrenergic Agents		Zyvox
Adrenergic Agents		Vasoconstrictor Agents
Adrenergic Agents		Pressors
Sympathomimetics		Adrenergic Agents
Sympathomimetics		Dopaminergic Agents
Sympathomimetics		Zyvox
Sympathomimetics		Vasoconstrictor Agents
Sympathomimetics		Pressors
Dopaminergic Agents		Adrenergic Agents
Dopaminergic Agents		Sympathomimetics
Dopaminergic Agents		Zyvox
Dopaminergic Agents		Vasoconstrictor Agents
Dopaminergic Agents		Pressors
Zyvox		Adrenergic Agents
Zyvox		Sympathomimetics
Zyvox		Dopaminergic Agents
Zyvox		Vasoconstrictor Agents
Zyvox		Pressors
Vasoconstrictor Agents		Adrenergic Agents
Vasoconstrictor Agents		Sympathomimetics
Vasoconstrictor Agents		Dopaminergic Agents
Vasoconstrictor Agents		Zyvox
Vasoconstrictor Agents		Pressors
Pressors		Adrenergic Agents
Pressors		Sympathomimetics
Pressors		Dopaminergic Agents
Pressors		Zyvox
Pressors		Vasoconstrictor Agents
Propantheline		Anticholinergic Agents
Propantheline		Clonazepam
Anticholinergic Agents		Propantheline
Anticholinergic Agents		Clonazepam
Clonazepam		Propantheline
Clonazepam		Anticholinergic Agents
Alprazolam		Fluvoxamine
Fluvoxamine		Alprazolam
Phenytoin		Dopamine Hydrochloride
Dopamine Hydrochloride		Phenytoin
Ketoconazole		alosetron
alosetron		Ketoconazole
Cyclosporine		Contraceptive Agents
Contraceptive Agents		Cyclosporine
Allopurinol		Chlorpropamide
Chlorpropamide		Allopurinol
Diltiazem		Coreg
Diltiazem		Calcium Channel Blockers
Coreg		Diltiazem
Coreg		Calcium Channel Blockers
Calcium Channel Blockers		Diltiazem
Calcium Channel Blockers		Coreg
Nevirapine		Contraceptives, Oral
Contraceptives, Oral		Nevirapine
Zalcitabine		Doxorubicin
Doxorubicin		Zalcitabine
Tricyclic Antidepressive Agents		Cimetidine
Cimetidine		Tricyclic Antidepressive Agents
Monoamine Oxidase Inhibitors		Levo-Dromoran
Levo-Dromoran		Monoamine Oxidase Inhibitors
Oral hypoglycemic		Diclofenac
Oral hypoglycemic		Insulin
Diclofenac		Oral hypoglycemic
Diclofenac		Insulin
Insulin		Oral hypoglycemic
Insulin		Diclofenac
Hexobarbital		Chlorpromazine
Hexobarbital		Clorazepate Dipotassium
Hexobarbital		Ethanol
Chlorpromazine		Hexobarbital
Chlorpromazine		Clorazepate Dipotassium
Chlorpromazine		Ethanol
Clorazepate Dipotassium		Hexobarbital
Clorazepate Dipotassium		Chlorpromazine
Clorazepate Dipotassium		Ethanol
Ethanol		Hexobarbital
Ethanol		Chlorpromazine
Ethanol		Clorazepate Dipotassium
aprepitant		Tolbutamide
Tolbutamide		aprepitant
mycophenolate mofetil		Cyclosporine
mycophenolate mofetil		Azathioprine
mycophenolate mofetil		Simulect
mycophenolate mofetil		Adrenal Cortex Hormones
Cyclosporine		mycophenolate mofetil
Cyclosporine		Azathioprine
Cyclosporine		Simulect
Cyclosporine		Adrenal Cortex Hormones
Azathioprine		mycophenolate mofetil
Azathioprine		Cyclosporine
Azathioprine		Simulect
Azathioprine		Adrenal Cortex Hormones
Simulect		mycophenolate mofetil
Simulect		Cyclosporine
Simulect		Azathioprine
Simulect		Adrenal Cortex Hormones
Adrenal Cortex Hormones		mycophenolate mofetil
Adrenal Cortex Hormones		Cyclosporine
Adrenal Cortex Hormones		Azathioprine
Adrenal Cortex Hormones		Simulect
Amphetamines		Dopamine
Amphetamines		Chlorpromazine
Amphetamines		Central Nervous System Stimulants
Dopamine		Amphetamines
Dopamine		Chlorpromazine
Dopamine		Central Nervous System Stimulants
Chlorpromazine		Amphetamines
Chlorpromazine		Dopamine
Chlorpromazine		Central Nervous System Stimulants
Central Nervous System Stimulants		Amphetamines
Central Nervous System Stimulants		Dopamine
Central Nervous System Stimulants		Chlorpromazine
Anticholinergic Agents		Antacids
Anticholinergic Agents		Pharmaceutical Preparations
Antacids		Anticholinergic Agents
Antacids		Pharmaceutical Preparations
Pharmaceutical Preparations		Anticholinergic Agents
Pharmaceutical Preparations		Antacids
Rifampin		Phenytoin
Rifampin		Phenobarbital
Rifampin		Pharmaceutical Preparations
Rifampin		Adrenal Cortex Hormones
Phenytoin		Rifampin
Phenytoin		Phenobarbital
Phenytoin		Pharmaceutical Preparations
Phenytoin		Adrenal Cortex Hormones
Phenobarbital		Rifampin
Phenobarbital		Phenytoin
Phenobarbital		Pharmaceutical Preparations
Phenobarbital		Adrenal Cortex Hormones
Pharmaceutical Preparations		Rifampin
Pharmaceutical Preparations		Phenytoin
Pharmaceutical Preparations		Phenobarbital
Pharmaceutical Preparations		Adrenal Cortex Hormones
Adrenal Cortex Hormones		Rifampin
Adrenal Cortex Hormones		Phenytoin
Adrenal Cortex Hormones		Phenobarbital
Adrenal Cortex Hormones		Pharmaceutical Preparations
Antithyroid Agents		Carbimazole
Carbimazole		Antithyroid Agents
Pharmacologic Substance		Etanercept
Pharmacologic Substance		anakinra
Pharmacologic Substance		Pharmaceutical Preparations
Etanercept		Pharmacologic Substance
Etanercept		anakinra
Etanercept		Pharmaceutical Preparations
anakinra		Pharmacologic Substance
anakinra		Etanercept
anakinra		Pharmaceutical Preparations
Pharmaceutical Preparations		Pharmacologic Substance
Pharmaceutical Preparations		Etanercept
Pharmaceutical Preparations		anakinra
Thiazides		Alkalinizing agent
Thiazides		Acetazolamide
Thiazides		Amphetamine
Alkalinizing agent		Thiazides
Alkalinizing agent		Acetazolamide
Alkalinizing agent		Amphetamine
Acetazolamide		Thiazides
Acetazolamide		Alkalinizing agent
Acetazolamide		Amphetamine
Amphetamine		Thiazides
Amphetamine		Alkalinizing agent
Amphetamine		Acetazolamide
Norfloxacin		Nitrofurantoin
Nitrofurantoin		Norfloxacin
Anticoagulants		Anticoagulants, Oral
Anticoagulants		Fluvoxamine
Anticoagulants, Oral		Anticoagulants
Anticoagulants, Oral		Fluvoxamine
Fluvoxamine		Anticoagulants
Fluvoxamine		Anticoagulants, Oral
Warfarin		Flutamide
Flutamide		Warfarin
Anticoagulants		Nicotine
Anticoagulants		Antihistamines
Anticoagulants		Tetracyclines
Anticoagulants		Heparin sodium
Anticoagulants		Heparin
Anticoagulants		Pharmaceutical Preparations
Nicotine		Anticoagulants
Nicotine		Antihistamines
Nicotine		Tetracyclines
Nicotine		Heparin sodium
Nicotine		Heparin
Nicotine		Pharmaceutical Preparations
Antihistamines		Anticoagulants
Antihistamines		Nicotine
Antihistamines		Tetracyclines
Antihistamines		Heparin sodium
Antihistamines		Heparin
Antihistamines		Pharmaceutical Preparations
Tetracyclines		Anticoagulants
Tetracyclines		Nicotine
Tetracyclines		Antihistamines
Tetracyclines		Heparin sodium
Tetracyclines		Heparin
Tetracyclines		Pharmaceutical Preparations
Heparin sodium		Anticoagulants
Heparin sodium		Nicotine
Heparin sodium		Antihistamines
Heparin sodium		Tetracyclines
Heparin sodium		Heparin
Heparin sodium		Pharmaceutical Preparations
Heparin		Anticoagulants
Heparin		Nicotine
Heparin		Antihistamines
Heparin		Tetracyclines
Heparin		Heparin sodium
Heparin		Pharmaceutical Preparations
Pharmaceutical Preparations		Anticoagulants
Pharmaceutical Preparations		Nicotine
Pharmaceutical Preparations		Antihistamines
Pharmaceutical Preparations		Tetracyclines
